Messidor Image,Painter Match
./Messidor_Classified\Grade_0_No_DR\c1.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_0_No_DR\c10.jpg,./painters_by_numbers\26504.jpg
./Messidor_Classified\Grade_0_No_DR\c100.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_0_No_DR\c101.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_0_No_DR\c102.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_0_No_DR\c103.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_0_No_DR\c104.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_0_No_DR\c105.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_0_No_DR\c106.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_0_No_DR\c107.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_0_No_DR\c108.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_0_No_DR\c109.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_0_No_DR\c11.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c110.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c111.jpg,./painters_by_numbers\21673.jpg
./Messidor_Classified\Grade_0_No_DR\c112.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c113.jpg,./painters_by_numbers\23593.jpg
./Messidor_Classified\Grade_0_No_DR\c114.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c115.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_0_No_DR\c116.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_0_No_DR\c117.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_0_No_DR\c118.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_0_No_DR\c119.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c12.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_0_No_DR\c120.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c121.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_0_No_DR\c122.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_0_No_DR\c123.jpg,./painters_by_numbers\23593.jpg
./Messidor_Classified\Grade_0_No_DR\c124.jpg,./painters_by_numbers\23903.jpg
./Messidor_Classified\Grade_0_No_DR\c125.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_0_No_DR\c126.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_0_No_DR\c127.jpg,./painters_by_numbers\21673.jpg
./Messidor_Classified\Grade_0_No_DR\c128.jpg,./painters_by_numbers\21673.jpg
./Messidor_Classified\Grade_0_No_DR\c129.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_0_No_DR\c13.jpg,./painters_by_numbers\23278.jpg
./Messidor_Classified\Grade_0_No_DR\c130.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c131.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c132.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_0_No_DR\c133.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_0_No_DR\c134.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_0_No_DR\c135.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c136.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_0_No_DR\c137.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_0_No_DR\c138.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c139.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_0_No_DR\c14.jpg,./painters_by_numbers\22363.jpg
./Messidor_Classified\Grade_0_No_DR\c140.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_0_No_DR\c141.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_0_No_DR\c142.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c143.jpg,./painters_by_numbers\22843.jpg
./Messidor_Classified\Grade_0_No_DR\c144.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_0_No_DR\c145.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_0_No_DR\c146.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_0_No_DR\c147.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_0_No_DR\c148.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c149.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_0_No_DR\c15.jpg,./painters_by_numbers\275.jpg
./Messidor_Classified\Grade_0_No_DR\c150.jpg,./painters_by_numbers\23593.jpg
./Messidor_Classified\Grade_0_No_DR\c151.jpg,./painters_by_numbers\23593.jpg
./Messidor_Classified\Grade_0_No_DR\c152.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_0_No_DR\c153.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_0_No_DR\c154.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_0_No_DR\c155.jpg,./painters_by_numbers\23994.jpg
