Messidor Image,Painter Match
./Messidor_Classified\Grade_1_Mild\c1.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_1_Mild\c10.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_1_Mild\c100.jpg,./painters_by_numbers\21673.jpg
./Messidor_Classified\Grade_1_Mild\c101.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_1_Mild\c102.jpg,./painters_by_numbers\28119.jpg
./Messidor_Classified\Grade_1_Mild\c103.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_1_Mild\c104.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_1_Mild\c105.jpg,./painters_by_numbers\27805.jpg
./Messidor_Classified\Grade_1_Mild\c106.jpg,./painters_by_numbers\29622.jpg
./Messidor_Classified\Grade_1_Mild\c107.jpg,./painters_by_numbers\25963.jpg
./Messidor_Classified\Grade_1_Mild\c108.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_1_Mild\c109.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_1_Mild\c11.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_1_Mild\c110.jpg,./painters_by_numbers\25225.jpg
./Messidor_Classified\Grade_1_Mild\c111.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_1_Mild\c112.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_1_Mild\c113.jpg,./painters_by_numbers\21673.jpg
./Messidor_Classified\Grade_1_Mild\c114.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_1_Mild\c115.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_1_Mild\c116.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_1_Mild\c117.jpg,./painters_by_numbers\29622.jpg
./Messidor_Classified\Grade_1_Mild\c118.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_1_Mild\c119.jpg,./painters_by_numbers\24454.jpg
