Messidor Image,Painter Match
./Messidor_Classified\Grade_3_Severe\c1.jpg,./painters_by_numbers\27596.jpg
./Messidor_Classified\Grade_3_Severe\c10.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_3_Severe\c11.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c12.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_3_Severe\c13.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c14.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c15.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_3_Severe\c16.jpg,./painters_by_numbers\2330.jpg
./Messidor_Classified\Grade_3_Severe\c17.jpg,./painters_by_numbers\24454.jpg
./Messidor_Classified\Grade_3_Severe\c18.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_3_Severe\c19.jpg,./painters_by_numbers\28504.jpg
./Messidor_Classified\Grade_3_Severe\c2.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_3_Severe\c20.jpg,./painters_by_numbers\29622.jpg
./Messidor_Classified\Grade_3_Severe\c21.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c22.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_3_Severe\c23.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c24.jpg,./painters_by_numbers\2395.jpg
./Messidor_Classified\Grade_3_Severe\c25.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_3_Severe\c26.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_3_Severe\c27.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c28.jpg,./painters_by_numbers\23903.jpg
./Messidor_Classified\Grade_3_Severe\c29.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_3_Severe\c3.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_3_Severe\c30.jpg,./painters_by_numbers\21673.jpg
