Messidor Image,Painter Match
./Messidor_Classified\Grade_4_Proliferative\c1.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_4_Proliferative\c10.jpg,./painters_by_numbers\20376.jpg
./Messidor_Classified\Grade_4_Proliferative\c11.jpg,./painters_by_numbers\21673.jpg
./Messidor_Classified\Grade_4_Proliferative\c12.jpg,./painters_by_numbers\2330.jpg
./Messidor_Classified\Grade_4_Proliferative\c13.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_4_Proliferative\c14.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_4_Proliferative\c15.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_4_Proliferative\c16.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_4_Proliferative\c17.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_4_Proliferative\c18.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_4_Proliferative\c19.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_4_Proliferative\c2.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_4_Proliferative\c20.jpg,./painters_by_numbers\29622.jpg
./Messidor_Classified\Grade_4_Proliferative\c21.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_4_Proliferative\c3.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_4_Proliferative\c4.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_4_Proliferative\c5.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_4_Proliferative\c6.jpg,./painters_by_numbers\28459.jpg
./Messidor_Classified\Grade_4_Proliferative\c7.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_4_Proliferative\c8.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_4_Proliferative\c9.jpg,./painters_by_numbers\21624.jpg
